NumThreads,Estrategia,Tiempo
4,Reduction,0.001419
4,Critical,0.065690
4,Ordered,0.008665
4,Reduction,0.001551
4,Critical,0.065831
4,Ordered,0.008698
4,Reduction,0.001409
4,Critical,0.065695
4,Ordered,0.008690
4,Reduction,0.001409
4,Critical,0.065564
4,Ordered,0.008673
4,Reduction,0.001410
4,Critical,0.065990
4,Ordered,0.008840
4,Reduction,0.001412
4,Critical,0.065962
4,Ordered,0.008693
4,Reduction,0.001412
4,Critical,0.065636
4,Ordered,0.008700
4,Reduction,0.001426
4,Critical,0.065688
4,Ordered,0.008702
4,Reduction,0.001445
4,Critical,0.065916
4,Ordered,0.008705
4,Reduction,0.001470
4,Critical,0.065770
4,Ordered,0.008822
4,Reduction,0.001411
4,Critical,0.065487
4,Ordered,0.008694
4,Reduction,0.001411
4,Critical,0.065833
4,Ordered,0.008681
4,Reduction,0.001412
4,Critical,0.065681
4,Ordered,0.008670
4,Reduction,0.001409
4,Critical,0.065822
4,Ordered,0.008670
4,Reduction,0.001411
4,Critical,0.065831
4,Ordered,0.008665
4,Reduction,0.001407
4,Critical,0.065596
4,Ordered,0.008844
4,Reduction,0.001410
4,Critical,0.065597
4,Ordered,0.008671
4,Reduction,0.001592
4,Critical,0.065632
4,Ordered,0.008701
4,Reduction,0.001408
4,Critical,0.065474
4,Ordered,0.008718
4,Reduction,0.001416
4,Critical,0.065856
4,Ordered,0.008695
4,Reduction,0.001802
4,Critical,0.065808
4,Ordered,0.008716
4,Reduction,0.001412
4,Critical,0.065698
4,Ordered,0.008669
4,Reduction,0.001408
4,Critical,0.065958
4,Ordered,0.009105
4,Reduction,0.001416
4,Critical,0.065596
4,Ordered,0.008671
4,Reduction,0.001407
4,Critical,0.065878
4,Ordered,0.008996
4,Reduction,0.001416
4,Critical,0.065746
4,Ordered,0.008686
4,Reduction,0.001490
4,Critical,0.065823
4,Ordered,0.008724
4,Reduction,0.001545
4,Critical,0.065648
4,Ordered,0.008678
4,Reduction,0.001411
4,Critical,0.065387
4,Ordered,0.008765
4,Reduction,0.001803
4,Critical,0.065216
4,Ordered,0.008665
4,Reduction,0.001467
4,Critical,0.065619
4,Ordered,0.008668
4,Reduction,0.001415
4,Critical,0.065406
4,Ordered,0.008996
4,Reduction,0.001448
4,Critical,0.065352
4,Ordered,0.008680
4,Reduction,0.001631
4,Critical,0.065568
4,Ordered,0.009703
4,Reduction,0.001427
4,Critical,0.065660
4,Ordered,0.008671
4,Reduction,0.001464
4,Critical,0.065843
4,Ordered,0.008722
4,Reduction,0.001413
4,Critical,0.065631
4,Ordered,0.008689
4,Reduction,0.001417
4,Critical,0.065773
4,Ordered,0.008670
4,Reduction,0.001413
4,Critical,0.065696
4,Ordered,0.008823
4,Reduction,0.001446
4,Critical,0.065473
4,Ordered,0.008672
4,Reduction,0.001446
4,Critical,0.065522
4,Ordered,0.008665
4,Reduction,0.001452
4,Critical,0.065693
4,Ordered,0.008699
4,Reduction,0.001429
4,Critical,0.065813
4,Ordered,0.008878
4,Reduction,0.001412
4,Critical,0.065733
4,Ordered,0.008705
4,Reduction,0.001524
4,Critical,0.065707
4,Ordered,0.008729
4,Reduction,0.001408
4,Critical,0.065825
4,Ordered,0.008704
4,Reduction,0.001688
4,Critical,0.066049
4,Ordered,0.008706
4,Reduction,0.001809
4,Critical,0.065643
4,Ordered,0.008998
4,Reduction,0.001420
4,Critical,0.065686
4,Ordered,0.008980
4,Reduction,0.001415
4,Critical,0.065797
4,Ordered,0.008744
4,Reduction,0.001416
4,Critical,0.065876
4,Ordered,0.008673
4,Reduction,0.001451
4,Critical,0.065605
4,Ordered,0.008666
4,Reduction,0.001410
4,Critical,0.065682
4,Ordered,0.008666
4,Reduction,0.001725
4,Critical,0.065625
4,Ordered,0.008880
4,Reduction,0.001414
4,Critical,0.065581
4,Ordered,0.009139
4,Reduction,0.001470
4,Critical,0.065843
4,Ordered,0.009028
4,Reduction,0.001414
4,Critical,0.066038
4,Ordered,0.008718
4,Reduction,0.001413
4,Critical,0.065744
4,Ordered,0.008667
4,Reduction,0.001412
4,Critical,0.065832
4,Ordered,0.008732
4,Reduction,0.001415
4,Critical,0.065724
4,Ordered,0.008668
4,Reduction,0.001425
4,Critical,0.065917
4,Ordered,0.009059
4,Reduction,0.001415
4,Critical,0.065779
4,Ordered,0.008670
4,Reduction,0.001592
4,Critical,0.065455
4,Ordered,0.008761
4,Reduction,0.001413
4,Critical,0.065387
4,Ordered,0.008826
4,Reduction,0.001414
4,Critical,0.065318
4,Ordered,0.008669
4,Reduction,0.001407
4,Critical,0.065450
4,Ordered,0.009962
4,Reduction,0.001423
4,Critical,0.065641
4,Ordered,0.008676
4,Reduction,0.001451
4,Critical,0.065577
4,Ordered,0.008725
4,Reduction,0.001414
4,Critical,0.065542
4,Ordered,0.008669
4,Reduction,0.001434
4,Critical,0.065660
4,Ordered,0.008776
4,Reduction,0.001474
4,Critical,0.065422
4,Ordered,0.008667
4,Reduction,0.001443
4,Critical,0.065464
4,Ordered,0.008682
4,Reduction,0.001409
4,Critical,0.065499
4,Ordered,0.008992
4,Reduction,0.001437
4,Critical,0.065571
4,Ordered,0.008668
4,Reduction,0.001413
4,Critical,0.065634
4,Ordered,0.009562
4,Reduction,0.001417
4,Critical,0.065651
4,Ordered,0.008836
4,Reduction,0.001411
4,Critical,0.065657
4,Ordered,0.009186
4,Reduction,0.001412
4,Critical,0.065678
4,Ordered,0.008672
4,Reduction,0.001574
4,Critical,0.065807
4,Ordered,0.008688
4,Reduction,0.001410
4,Critical,0.065968
4,Ordered,0.008666
4,Reduction,0.001448
4,Critical,0.065894
4,Ordered,0.008668
4,Reduction,0.001408
4,Critical,0.065586
4,Ordered,0.009302
4,Reduction,0.001417
4,Critical,0.065675
4,Ordered,0.008667
4,Reduction,0.001408
4,Critical,0.065450
4,Ordered,0.009056
4,Reduction,0.001416
4,Critical,0.065782
4,Ordered,0.008684
4,Reduction,0.001410
4,Critical,0.065892
4,Ordered,0.008698
4,Reduction,0.001408
4,Critical,0.065780
4,Ordered,0.008666
4,Reduction,0.001440
4,Critical,0.065476
